197941712,251351,252,8,197941713,251351,252,8,197941714,251351,252,8
197941766,251351,252,8,197941849,251351,252,8,197941857,251351,252,8
197941748,251351,252,8,197941821,251351,252,8,197941849,251351,252,8
197941748,251351,252,8,197941857,251351,252,8,197941821,251351,252,8
197941849,251351,252,8,197941766,251351,252,8,197941748,251351,252,8
197941857,251351,252,8,197941821,251351,252,8,197941849,251351,252,8
197941821,251351,252,8,197941849,251351,252,8,197941748,251351,252,8
197941849,251351,252,8,197941748,251351,252,8,197941766,251351,252,8
197941857,251351,252,8,197941821,251351,252,8,197941857,251351,252,8
197941748,251351,252,8,197941857,251351,252,8,197941821,251351,252,8
